Année,Réserves
1980,93109500000
1981,94271710000
1982,98513130000
1983,100136590000
1984,101803745000
1985,105608500000
1986,119975540000
1987,124274835000
1988,136330550000
1989,136423825000
1990,136523555000
1991,146336760000
1992,146883300000
1993,146813500000
1994,148697560000
1995,149863280000
1996,152939050000
1997,156748560000
1998,157900370000
1999,174628000000
2000,177446040000
2001,178302600000
2002,185105270000
2003,185273750000
2004,186222690000
2005,187208190000
2006,188677460000
2007,193459600000
2008,203085320000
2009,208731390000
2010,223271350000
2011,228369020000
2012,229638500000
2013,230774460000
2014,231121270000
2015,229684380000
2016,230554390000
2017,235722560000
2018,236810040000
2019,236628160000
2020,236294750000
